Thumbnail,Track Name,Author Time,Top Time,10k Time,10k Time % Difference,Top Time % Difference,10k Time Difference,Top Time Difference,Completed
https://core.trackmania.nadeo.live/maps/e554e8f6-a44b-42e1-bf4b-a422f356e323/thumbnail.jpg,Summer 2021 - 12,37.097,33.531,36.115,2.65,9.61,0.9819999999999993,3.5660000000000025,False
https://core.trackmania.nadeo.live/maps/dd26f337-8513-4d66-b248-b17f1ebee624/thumbnail.jpg,Summer 2021 - 13,35.829,33.51,35.727,0.28,6.47,0.10200000000000387,2.3190000000000026,False
https://core.trackmania.nadeo.live/maps/d6dc412d-55ac-4ad1-9e3a-d981cd3ef808/thumbnail.jpg,Summer 2021 - 14,36.418,33.554,35.543,2.4,7.86,0.875,2.863999999999997,False
https://core.trackmania.nadeo.live/maps/57c99dc6-6308-4e29-aef4-89214dffe06f/thumbnail.jpg,Summer 2021 - 15,48.694,45.301,48.496,0.41,6.97,0.1980000000000004,3.3930000000000007,False
https://core.trackmania.nadeo.live/maps/93776012-7ee2-4286-9afe-a8d4817dfc6b/thumbnail.jpg,Summer 2021 - 16,47.745,44.661,47.181,1.18,6.46,0.5640000000000001,3.083999999999996,False
https://core.trackmania.nadeo.live/maps/f36b992a-e3d3-49d4-a5bb-6981627e6a8a/thumbnail.jpg,Summer 2021 - 17,49.178,45.367,49.172,0.01,7.75,0.006000000000000227,3.811,False
https://core.trackmania.nadeo.live/maps/15941975-e602-4de3-b4a1-cee65cf5063b/thumbnail.jpg,Summer 2021 - 18,49.065,43.48,48.782,0.58,11.38,0.28300000000000125,5.585000000000001,False
https://core.trackmania.nadeo.live/maps/886bf86b-3aa8-4127-98d7-75026b443eb8/thumbnail.jpg,Summer 2021 - 19,53.363,48.873,52.884,0.9,8.41,0.4789999999999992,4.490000000000002,False
https://core.trackmania.nadeo.live/maps/da410530-5926-4e5b-b303-f534a51e1e6f/thumbnail.jpg,Summer 2021 - 20,60.902,50.273,57.82,5.06,17.45,3.0820000000000007,10.628999999999998,False
https://core.trackmania.nadeo.live/maps/e828bb83-0ee1-4ede-8aba-e9326947b5f4/thumbnail.jpg,Summer 2021 - 21,55.151,51.564,55.951,-1.45,6.5,-0.7999999999999972,3.5870000000000033,False
https://core.trackmania.nadeo.live/maps/90921991-4389-4617-bf5e-2890da2e5ab2/thumbnail.jpg,Summer 2021 - 22,62.633,57.864,62.542,0.15,7.61,0.09100000000000108,4.7690000000000055,False
https://core.trackmania.nadeo.live/maps/0f3cf898-5b98-42c4-814a-5a982df8ed32/thumbnail.jpg,Summer 2021 - 23,52.414,46.601,52.318,0.18,11.09,0.09600000000000364,5.813000000000002,False
https://core.trackmania.nadeo.live/maps/5c863c76-3c83-4527-9daa-4d51ec5c399a/thumbnail.jpg,Summer 2021 - 24,62.568,55.586,61.441,1.8,11.16,1.1269999999999953,6.981999999999999,False
https://core.trackmania.nadeo.live/maps/dbd2e391-1e12-4eb9-8efd-8ed36570c3b0/thumbnail.jpg,Summer 2021 - 25,85.858,80.303,86.053,-0.23,6.47,-0.19499999999999318,5.555000000000007,False
https://core.trackmania.nadeo.live/maps/3896dc4f-919a-4da7-8c49-bcc70a341cf1/thumbnail.jpg,Spring 2021 - 1,21.755,21.058,21.335,1.93,3.2,0.41999999999999815,0.6969999999999992,False
https://core.trackmania.nadeo.live/maps/49bd3f7f-fa15-4c0d-9c89-4024c53f91ba/thumbnail.jpg,Spring 2021 - 2,19.367,17.684,18.19,6.08,8.69,1.1769999999999996,1.6829999999999998,False
https://core.trackmania.nadeo.live/maps/4ba8473e-2ba1-42e6-8452-424e30d92d77/thumbnail.jpg,Spring 2021 - 3,21.777,20.204,21.654,0.56,7.22,0.12300000000000111,1.5730000000000004,False
https://core.trackmania.nadeo.live/maps/aceeb01e-886e-417e-b793-6766f338b8a2/thumbnail.jpg,Spring 2021 - 4,33.989,30.374,33.434,1.63,10.64,0.5549999999999997,3.6149999999999984,False
https://core.trackmania.nadeo.live/maps/bb179b91-ed69-48e1-87c2-196f25b11976/thumbnail.jpg,Spring 2021 - 5,30.281,27.807,29.128,3.81,8.17,1.1529999999999987,2.474,False
https://core.trackmania.nadeo.live/maps/c0a88ff9-63ab-466e-8293-41d855920519/thumbnail.jpg,Spring 2021 - 6,30.868,27.69,30.171,2.26,10.3,0.6969999999999992,3.1779999999999973,False
https://core.trackmania.nadeo.live/maps/6f8762a2-13bc-4821-9845-f901883d9f70/thumbnail.jpg,Spring 2021 - 7,32.456,29.637,31.776,2.1,8.69,0.6800000000000033,2.8190000000000026,False
https://core.trackmania.nadeo.live/maps/6e2f48ef-fe35-4365-a35f-4c6430e3b103/thumbnail.jpg,Spring 2021 - 8,34.693,30.604,33.164,4.41,11.79,1.5289999999999964,4.088999999999999,False
https://core.trackmania.nadeo.live/maps/815a2a8e-e299-4e93-8097-5285d6036240/thumbnail.jpg,Spring 2021 - 9,39.572,36.213,38.204,3.46,8.49,1.368000000000002,3.3590000000000018,False
https://core.trackmania.nadeo.live/maps/bff0eb8e-8c15-4343-82c0-2368fbf0781c/thumbnail.jpg,Spring 2021 - 10,39.78,36.282,38.782,2.51,8.79,0.9980000000000047,3.4980000000000047,False
https://core.trackmania.nadeo.live/maps/ddc5d0d7-260c-44a4-b691-b58abd57498b/thumbnail.jpg,Spring 2021 - 11,34.105,31.542,33.572,1.56,7.52,0.5329999999999941,2.5629999999999953,False
https://core.trackmania.nadeo.live/maps/c5284a6e-ca67-49b7-995c-04ed9920b464/thumbnail.jpg,Spring 2021 - 12,34.124,27.801,33.335,2.31,18.53,0.7890000000000015,6.323000000000004,False
https://core.trackmania.nadeo.live/maps/86e8e79f-eb3b-4338-a145-bb045735d68e/thumbnail.jpg,Spring 2021 - 13,36.93,32.36,35.55,3.74,12.37,1.3800000000000026,4.57,False
https://core.trackmania.nadeo.live/maps/60aab799-42ab-4e89-8f07-ec13082844ee/thumbnail.jpg,Spring 2021 - 14,44.562,39.938,44.285,0.62,10.38,0.277000000000001,4.623999999999995,False
https://core.trackmania.nadeo.live/maps/a6d36bba-2383-4103-912a-82525d820a01/thumbnail.jpg,Spring 2021 - 15,39.37,34.908,38.298,2.72,11.33,1.0719999999999956,4.461999999999996,False
https://core.trackmania.nadeo.live/maps/6237e0d1-13b5-4701-a19f-2a0442eebf8b/thumbnail.jpg,Spring 2021 - 16,35.5,33.298,35.028,1.33,6.2,0.4720000000000013,2.201999999999998,False
https://core.trackmania.nadeo.live/maps/649a7c26-1a88-4e45-8b12-e36ef3ff19a4/thumbnail.jpg,Spring 2021 - 17,42.04,37.924,41.642,0.95,9.79,0.39799999999999613,4.116,False
https://core.trackmania.nadeo.live/maps/f35d8e12-ff09-4ad2-9d82-7e80466ea295/thumbnail.jpg,Spring 2021 - 18,44.14,39.35,43.215,2.1,10.85,0.9249999999999972,4.789999999999999,False
https://core.trackmania.nadeo.live/maps/a45e6543-8c8a-451b-9cd9-190f04a37293/thumbnail.jpg,Spring 2021 - 19,56.588,52.612,56.422,0.29,7.03,0.16600000000000392,3.975999999999999,False
https://core.trackmania.nadeo.live/maps/2f0ea14d-c4f7-4e91-b16a-e605573832c7/thumbnail.jpg,Spring 2021 - 20,45.362,42.103,44.968,0.87,7.18,0.39399999999999835,3.2590000000000003,False
https://core.trackmania.nadeo.live/maps/91551c44-652f-45e0-845e-dd91691ee29c/thumbnail.jpg,Spring 2021 - 21,54.444,49.434,54.722,-0.51,9.2,-0.2779999999999987,5.010000000000005,False
https://core.trackmania.nadeo.live/maps/496a64e4-29b9-45dc-8bd0-bbaaebb423e0/thumbnail.jpg,Spring 2021 - 22,59.51,54.061,59.343,0.28,9.16,0.1669999999999945,5.448999999999998,False
https://core.trackmania.nadeo.live/maps/f44840e7-e1ff-48de-8a39-a1990da738a7/thumbnail.jpg,Spring 2021 - 23,53.735,49.634,54.633,-1.67,7.63,-0.8980000000000032,4.100999999999999,False
